layers,neurons,activation,epochs,lr,batch_size,accuracy
1,4,Softmax,250,0.0001,32,0.5155
1,4,Softmax,250,0.0001,64,0.03
1,4,Softmax,250,0.0001,128,0.9765
1,4,Softmax,250,0.0001,256,0.073
1,4,Softmax,250,0.0001,512,0.17
1,4,ReLU,1,10.0,16,0.6515
1,4,ReLU,1,10.0,32,0.6365
1,4,ReLU,1,10.0,64,0.376
1,4,ReLU,1,10.0,128,0.31
1,4,ReLU,1,10.0,256,0.7135
1,4,ReLU,1,10.0,512,0.8885
1,4,ReLU,1,1.0,16,0.481
1,4,ReLU,1,1.0,32,0.6995
1,4,ReLU,1,1.0,64,0.7375
1,4,ReLU,1,1.0,128,0.7605
1,4,ReLU,1,1.0,256,0.379
1,4,ReLU,1,1.0,512,0.8905
1,4,ReLU,1,0.1,16,0.7005
1,4,ReLU,1,0.1,32,0.56
1,4,ReLU,1,0.1,64,0.987
1,4,ReLU,1,0.1,128,0.983
1,4,ReLU,1,0.1,256,0.98
1,4,ReLU,1,0.1,512,0.8935
1,4,ReLU,1,0.01,16,0.24
1,4,ReLU,1,0.01,32,0.7625
1,4,ReLU,1,0.01,64,0.0695
1,4,ReLU,1,0.01,128,0.131
1,4,ReLU,1,0.01,256,0.9695
1,4,ReLU,1,0.01,512,0.785
1,4,ReLU,1,0.001,16,0.4005
1,4,ReLU,1,0.001,32,0.305
1,4,ReLU,1,0.001,64,0.9475
1,4,ReLU,1,0.001,128,0.0775
1,4,ReLU,1,0.001,256,0.5765
1,4,ReLU,1,0.001,512,0.795
1,4,ReLU,1,0.0001,16,0.387
1,4,ReLU,1,0.0001,32,0.0355
1,4,ReLU,1,0.0001,64,0.1105
1,4,ReLU,1,0.0001,128,0.8025
1,4,ReLU,1,0.0001,256,0.0185
1,4,ReLU,1,0.0001,512,0.9635
1,4,ReLU,10,10.0,16,0.999
1,4,ReLU,10,10.0,32,0.999
1,4,ReLU,10,10.0,64,0.992
1,4,ReLU,10,10.0,128,0.9075
1,4,ReLU,10,10.0,256,0.999
1,4,ReLU,10,10.0,512,0.999
1,4,ReLU,10,1.0,16,0.999
1,4,ReLU,10,1.0,32,0.999
1,4,ReLU,10,1.0,64,0.9985
1,4,ReLU,10,1.0,128,0.999
1,4,ReLU,10,1.0,256,0.999
1,4,ReLU,10,1.0,512,0.9885
1,4,ReLU,10,0.1,16,0.999
1,4,ReLU,10,0.1,32,0.999
1,4,ReLU,10,0.1,64,0.999
1,4,ReLU,10,0.1,128,0.999
1,4,ReLU,10,0.1,256,0.999
1,4,ReLU,10,0.1,512,0.999
1,4,ReLU,10,0.01,16,0.955
1,4,ReLU,10,0.01,32,0.0635
1,4,ReLU,10,0.01,64,0.8255
1,4,ReLU,10,0.01,128,0.99
1,4,ReLU,10,0.01,256,0.8795
1,4,ReLU,10,0.01,512,0.9145
1,4,ReLU,10,0.001,16,0.1775
1,4,ReLU,10,0.001,32,0.015
1,4,ReLU,10,0.001,64,0.935
1,4,ReLU,10,0.001,128,0.871
1,4,ReLU,10,0.001,256,0.121
1,4,ReLU,10,0.001,512,0.7095
1,4,ReLU,10,0.0001,16,0.0755
1,4,ReLU,10,0.0001,32,0.162
1,4,ReLU,10,0.0001,64,0.8945
1,4,ReLU,10,0.0001,128,0.07
1,4,ReLU,10,0.0001,256,0.052
1,4,ReLU,10,0.0001,512,0.692
1,4,ReLU,25,10.0,16,0.999
1,4,ReLU,25,10.0,32,0.999
1,4,ReLU,25,10.0,64,0.999
1,4,ReLU,25,10.0,128,0.999
1,4,ReLU,25,10.0,256,0.999
1,4,ReLU,25,10.0,512,0.999
1,4,ReLU,25,1.0,16,0.999
1,4,ReLU,25,1.0,32,0.998
1,4,ReLU,25,1.0,64,0.999
1,4,ReLU,25,1.0,128,0.999
1,4,ReLU,25,1.0,256,0.999
1,4,ReLU,25,1.0,512,0.999
1,4,ReLU,25,0.1,16,0.999
1,4,ReLU,25,0.1,32,0.999
1,4,ReLU,25,0.1,64,0.999
1,4,ReLU,25,0.1,128,0.999
1,4,ReLU,25,0.1,256,0.999
1,4,ReLU,25,0.1,512,0.999
1,4,ReLU,25,0.01,16,0.996
1,4,ReLU,25,0.01,32,0.999
1,4,ReLU,25,0.01,64,0.9915
1,4,ReLU,25,0.01,128,0.999
1,4,ReLU,25,0.01,256,0.999
1,4,ReLU,25,0.01,512,0.999
1,4,ReLU,25,0.001,16,0.94
1,4,ReLU,25,0.001,32,0.4765
1,4,ReLU,25,0.001,64,0.9795
1,4,ReLU,25,0.001,128,0.465
1,4,ReLU,25,0.001,256,0.982
1,4,ReLU,25,0.001,512,0.338
1,4,ReLU,25,0.0001,16,0.0305
1,4,ReLU,25,0.0001,32,0.3575
1,4,ReLU,25,0.0001,64,0.0365
1,4,ReLU,25,0.0001,128,0.587
1,4,ReLU,25,0.0001,256,0.685
1,4,ReLU,25,0.0001,512,0.0995
1,4,ReLU,50,10.0,16,0.999
1,4,ReLU,50,10.0,32,0.999
1,4,ReLU,50,10.0,64,0.9985
1,4,ReLU,50,10.0,128,0.999
1,4,ReLU,50,10.0,256,0.9985
1,4,ReLU,50,10.0,512,0.9985
1,4,ReLU,50,1.0,16,0.999
1,4,ReLU,50,1.0,32,0.999
1,4,ReLU,50,1.0,64,0.999
1,4,ReLU,50,1.0,128,0.999
1,4,ReLU,50,1.0,256,0.9985
1,4,ReLU,50,1.0,512,0.999
1,4,ReLU,50,0.1,16,0.999
1,4,ReLU,50,0.1,32,0.999
1,4,ReLU,50,0.1,64,0.999
1,4,ReLU,50,0.1,128,0.999
1,4,ReLU,50,0.1,256,0.999
1,4,ReLU,50,0.1,512,0.999
1,4,ReLU,50,0.01,16,0.999
1,4,ReLU,50,0.01,32,0.999
1,4,ReLU,50,0.01,64,0.999
1,4,ReLU,50,0.01,128,0.999
1,4,ReLU,50,0.01,256,0.999
1,4,ReLU,50,0.01,512,0.999
1,4,ReLU,50,0.001,16,0.0315
1,4,ReLU,50,0.001,32,0.9905
1,4,ReLU,50,0.001,64,0.994
1,4,ReLU,50,0.001,128,0.984
1,4,ReLU,50,0.001,256,0.734
1,4,ReLU,50,0.001,512,0.399
1,4,ReLU,50,0.0001,16,0.9755
1,4,ReLU,50,0.0001,32,0.034
1,4,ReLU,50,0.0001,64,0.694
1,4,ReLU,50,0.0001,128,0.775
1,4,ReLU,50,0.0001,256,0.472
1,4,ReLU,50,0.0001,512,0.737
1,4,ReLU,100,10.0,16,0.999
1,4,ReLU,100,10.0,32,0.999
1,4,ReLU,100,10.0,64,0.999
1,4,ReLU,100,10.0,128,0.999
1,4,ReLU,100,10.0,256,0.9985
1,4,ReLU,100,10.0,512,0.999
1,4,ReLU,100,1.0,16,0.999
1,4,ReLU,100,1.0,32,0.999
1,4,ReLU,100,1.0,64,0.999
1,4,ReLU,100,1.0,128,0.9985
1,4,ReLU,100,1.0,256,0.999
1,4,ReLU,100,1.0,512,0.999
1,4,ReLU,100,0.1,16,0.999
1,4,ReLU,100,0.1,32,0.999
1,4,ReLU,100,0.1,64,0.999
1,4,ReLU,100,0.1,128,0.999
1,4,ReLU,100,0.1,256,0.999
1,4,ReLU,100,0.1,512,0.999
1,4,ReLU,100,0.01,16,0.999
1,4,ReLU,100,0.01,32,0.999
1,4,ReLU,100,0.01,64,0.999
1,4,ReLU,100,0.01,128,0.999
1,4,ReLU,100,0.01,256,0.999
1,4,ReLU,100,0.01,512,0.999
1,4,ReLU,100,0.001,16,0.9985
1,4,ReLU,100,0.001,32,0.986
1,4,ReLU,100,0.001,64,0.9985
1,4,ReLU,100,0.001,128,0.995
1,4,ReLU,100,0.001,256,0.994
1,4,ReLU,100,0.001,512,0.7875
1,4,ReLU,100,0.0001,16,0.189
1,4,ReLU,100,0.0001,32,0.5375
1,4,ReLU,100,0.0001,64,0.825
1,4,ReLU,100,0.0001,128,0.8535
1,4,ReLU,100,0.0001,256,0.896
1,4,ReLU,100,0.0001,512,0.0445
1,4,ReLU,250,10.0,16,0.999
1,4,ReLU,250,10.0,32,0.999
1,4,ReLU,250,10.0,64,0.999
1,4,ReLU,250,10.0,128,0.999
1,4,ReLU,250,10.0,256,0.9985
1,4,ReLU,250,10.0,512,0.999
1,4,ReLU,250,1.0,16,0.999
1,4,ReLU,250,1.0,32,0.9985
1,4,ReLU,250,1.0,64,0.999
1,4,ReLU,250,1.0,128,0.999
1,4,ReLU,250,1.0,256,0.999
1,4,ReLU,250,1.0,512,0.999
1,4,ReLU,250,0.1,16,0.999
1,4,ReLU,250,0.1,32,0.999
